75.2,6,117898,8.3,26.3,1184996,9.2
73.1,47,125657,12.9,26.5,3155070,9.3
75.5,8,119635,15.7,29.9,637026,9.4
74.6,6,167784,20.2,32.2,822441,8.5
74.7,16,40435,13,28.3,2748391,9.5
75.3,20,136417,18.8,31.6,650555,9
72,4,137926,18.3,30.4,4796580,6.7
68.7,182,95291,9.3,26.8,3406465,8.8
75.5,12,255747,10.5,23.6,8851080,10.5
73.9,66,90001,7.9,26,1632934,8.6
74.7,8,69114,10.6,26.8,5486372,7.7
71.9,45,75123,17.8,31.2,3388768,7.3
73.6,4,55074,9.6,24.7,2665018,8.1
74.8,14,56601,12.4,28.4,7350682,8.8
74.4,14,95435,6.5,21.6,15175862,9.1
73.8,16,56905,9.9,26.7,4351037,7.4
74.7,27,87376,13.8,29.4,1777227,8.9
73.9,49,58068,17.5,32.5,1084979,8.6
75.8,20,180689,14.4,28.5,4653458,9.8
71.9,19,44264,17.4,29.8,3801962,6.9
74,6,67346,10,24.3,5779829,8
74.7,4,109909,10.6,25.8,1827937,8.9
74.9,11,147520,21.1,31.6,1325578,9.1
73.8,14,76684,14.9,29.1,2585518,8.3
73.8,85,77910,16.4,32.5,2767761,9.1
74.5,27,114281,13.1,30.6,2662480,9.4
74,9,64148,21.3,30.9,2238603,8.6
74.7,28,112785,17,29.5,3268554,9.1
74.3,5,54493,5.7,22.7,1169936,8.8
73.3,6,59893,17.1,27.5,7643194,7.7
74.9,2,79162,19.2,31.8,1955577,8.2
74.3,9,56747,7.4,25.4,1490668,7.9
